location,latitude,longitude,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,data_source,temperature,humidity,wind_speed,weather_condition
Bombay Beach,33.3436,-115.7296,2024-09-21 15:00:00,4,0.25368,0.14,1.5,160.22,1.36,11.17,19.58,7.98,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 16:00:00,4,0.26035,0.15,1.93,164.51,1.33,12.36,20.5,11.78,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 17:00:00,4,0.26035,0.13,2.4,165.94,1.33,12.98,21.11,13.93,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 18:00:00,4,0.25368,0.08,2.87,158.79,1.22,12.43,20.51,14.06,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 19:00:00,4,0.24366,0.0,3.13,145.91,1.03,11.12,19.13,14.69,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 20:00:00,3,0.23699,0.0,3.26,137.33,0.87,10.06,18.12,18.24,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 21:00:00,3,0.23365,0.0,3.51,128.75,0.75,9.32,17.85,20.77,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 22:00:00,3,0.23031000000000001,0.0,3.77,120.16,0.66,8.86,17.99,22.55,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-21 23:00:00,3,0.22697,0.0,4.07,113.01,0.59,8.38,18.02,25.59,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 00:00:00,3,0.22697,0.0,4.37,105.86,0.54,7.96,17.9,29.39,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 01:00:00,2,0.22697,0.0,4.5,97.28,0.48,7.73,18.0,29.64,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 02:00:00,2,0.22697,0.0,4.54,90.12,0.43,7.5,18.21,26.6,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 03:00:00,2,0.22697,0.0,4.54,83.69,0.39,7.31,18.33,24.57,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 04:00:00,2,0.22697,0.0,4.63,79.39,0.35,7.29,18.71,24.57,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 05:00:00,2,0.22363999999999998,0.0,4.71,76.53,0.32,7.52,19.91,25.33,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 06:00:00,2,0.21696000000000001,0.0,4.63,74.39,0.28,7.79,21.82,23.31,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 07:00:00,2,0.21362,0.0,4.67,70.81,0.23,7.95,22.84,21.03,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 08:00:00,2,0.21362,0.18,4.93,67.23,0.2,8.13,22.88,20.77,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 09:00:00,2,0.21696000000000001,0.52,4.16,70.81,0.17,8.46,23.19,20.52,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 10:00:00,2,0.21696000000000001,0.51,3.21,82.97,0.16,9.06,23.94,21.53,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 11:00:00,3,0.22030000000000002,0.32,2.23,101.57,0.16,9.81,24.66,23.56,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 12:00:00,3,0.22697,0.19,1.48,117.3,0.25,10.18,24.44,24.07,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 13:00:00,3,0.23031000000000001,0.13,1.06,128.75,0.37,10.07,22.98,19.25,Measured,,,,
Bombay Beach,33.3436,-115.7296,2024-09-22 14:00:00,3,0.23031000000000001,0.09,0.84,138.76,0.5,10.15,21.56,13.17,Measured,28.74,36.0,1.13,Clear
Salton City,33.2986,-115.9561,2024-09-21 15:00:00,4,0.25701999999999997,0.17,1.93,165.94,1.33,10.69,18.89,19.51,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 16:00:00,4,0.247,0.15,2.04,167.37,1.22,10.17,18.48,20.52,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 17:00:00,4,0.24366,0.13,2.38,164.51,1.1,9.56,17.85,22.55,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 18:00:00,4,0.24033000000000002,0.07,3.0,160.22,1.04,9.35,17.58,27.36,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 19:00:00,4,0.24366,0.0,3.64,155.93,1.01,9.36,17.46,35.47,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 20:00:00,4,0.24366,0.0,3.98,148.77,0.97,9.18,17.27,39.01,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 21:00:00,3,0.24033000000000002,0.0,4.28,138.76,0.87,8.9,17.32,40.03,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 22:00:00,3,0.24033000000000002,0.0,4.5,127.32,0.78,8.65,17.56,39.01,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-21 23:00:00,3,0.24033000000000002,0.0,4.54,117.3,0.69,8.31,17.81,33.44,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-22 00:00:00,3,0.24033000000000002,0.0,4.37,111.58,0.64,8.16,18.12,29.13,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-22 01:00:00,3,0.24033000000000002,0.0,4.24,101.57,0.58,8.02,18.14,27.11,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-22 02:00:00,2,0.24033000000000002,0.0,4.28,90.12,0.49,7.79,17.93,25.59,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-22 03:00:00,2,0.24033000000000002,0.0,4.2,79.39,0.4,7.6,17.52,20.27,Measured,,,,
Salton City,33.2986,-115.9561,2024-09-22 04:00:00,2,0.24033000000000002,0.0,4.03,71.53,0.34,7.54,17.28,19.76,Measured,,,,
